Tournament,Date,Surface,Round,player_0,player_0_rank,player_0_odd,player_1,player_1_rank,player_1_odd,outcome,player_0_match_win_percent,player_1_match_win_percent,player_0_games_win_percent,player_1_games_win_percent,player_0_5_set_match_win_percent,player_1_5_set_match_win_percent,player_0_close_sets_percent,player_1_close_sets_percent,player_0_match_win_percent_hard,player_1_match_win_percent_hard,player_0_games_win_percent_hard,player_1_games_win_percent_hard,player_0_5_set_match_win_percent_hard,player_1_5_set_match_win_percent_hard,player_0_close_sets_percent_hard,player_1_close_sets_percent_hard,player_0_match_win_percent_52,player_1_match_win_percent_52,player_0_games_win_percent_52,player_1_games_win_percent_52,player_0_5_set_match_win_percent_52,player_1_5_set_match_win_percent_52,player_0_close_sets_percent_52,player_1_close_sets_percent_52,player_0_match_win_percent_hard_60,player_1_match_win_percent_hard_60,player_0_games_win_percent_hard_60,player_1_games_win_percent_hard_60,player_0_5_set_match_win_percent_hard_60,player_1_5_set_match_win_percent_hard_60,player_0_close_sets_percent_hard_60,player_1_close_sets_percent_hard_60,player_0_match_win_percent_hh,player_1_match_win_percent_hh,player_0_games_win_percent_hh,player_1_games_win_percent_hh,player_0_match_win_percent_hard_hh,player_1_match_win_percent_hard_hh,player_0_games_win_percent_hard_hh,player_1_games_win_percent_hard_hh,diff_rank,diff_match_win_percent,diff_games_win_percent,diff_5_set_match_win_percent,diff_close_sets_percent,diff_match_win_percent_hard,diff_games_win_percent_hard,diff_5_set_match_win_percent_hard,diff_close_sets_percent_hard,diff_match_win_percent_52,diff_games_win_percent_52,diff_5_set_match_win_percent_52,diff_close_sets_percent_52,diff_match_win_percent_hard_60,diff_games_win_percent_hard_60,diff_5_set_match_win_percent_hard_60,diff_close_sets_percent_hard_60,diff_match_win_percent_hh,diff_games_win_percent_hh,diff_match_win_percent_hard_hh,diff_games_win_percent_hard_hh
US Open,2010/08/30,Hard,1st Round,Cilic M.,13,1.12,Marchenko I.,73,5.5,0,0.6195121951,0.46875,0.5305004721,0.4851994852,0.6744186047,0.3333333333,0.5563480742,0.4411764706,0.6666666667,0.52,0.5378815081,0.4949832776,0.7391304348,0.5,0.5675675676,0.4556962025,0.7076923077,0.4838709677,0.549122807,0.4872483221,0.75,0.3333333333,0.5814977974,0.4444444444,0.7115384615,0.5416666667,0.5497737557,0.4982332155,0.8181818182,0.5,0.5898876404,0.4605263158,0,0,0,0,0,0,0,0,-60,0.1507621951,0.04530098694,0.3410852713,0.1151716036,0.1466666667,0.04289823049,0.2391304348,0.111871365,0.22382134,0.06187448487,0.4166666667,0.1370533529,0.1698717949,0.05154054011,0.3181818182,0.1293613247,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Davydenko N.,6,1.06,Russell M.,80,8,0,0.7118644068,0.3582089552,0.5652566159,0.4670731707,0.775,0.1818181818,0.5746962116,0.4125560538,0.691943128,0.4347826087,0.5598598404,0.4909090909,0.8139534884,0.1666666667,0.5660639777,0.4666666667,0.7547169811,0.3703703704,0.5712098009,0.463963964,0.8,0.25,0.5921787709,0.4269662921,0.7884615385,0.4736842105,0.5741324921,0.4956331878,0.875,0,0.5988372093,0.4915254237,0,0,0,0,0,0,0,0,-74,0.3536554516,0.09818344515,0.5931818182,0.1621401578,0.2571605193,0.06895074946,0.6472868217,0.09939731108,0.3843466108,0.107245837,0.55,0.1652124788,0.3147773279,0.07849930434,0.875,0.1073117856,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Ferrero J.C.,24,1.14,Klizan M.,293,5,0,0.6161616162,0.4,0.5260707635,0.5213675214,0.6,0,0.5404595405,0.4,0.5175438596,0.5,0.4994701519,0.5238095238,0.4761904762,0,0.4739583333,0.5,0.6595744681,0.5,0.5423143351,0.5636363636,0.5,0,0.5668789809,0.5,0.4736842105,0,0.4922737307,0,0.5,0,0.4307692308,0,0,0,0,0,0,0,0,0,-269,0.2161616162,0.004703242133,0.6,0.1404595405,0.01754385965,-0.02433937192,0.4761904762,-0.02604166667,0.1595744681,-0.02132202858,0.5,0.06687898089,0.4736842105,0.4922737307,0.5,0.4307692308,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Gasquet R.,38,1.12,Greul S.,84,5.5,0,0.6453900709,0.375,0.5446324387,0.4590231788,0.6170212766,0.1666666667,0.5553191489,0.3898809524,0.5915492958,0.3695652174,0.5352032055,0.463898917,0.6086956522,0.2,0.5466101695,0.3986486486,0.6037735849,0.3913043478,0.5322327044,0.4679487179,0,0.2,0.5757575758,0.4256756757,0.5185185185,0.4117647059,0.509118541,0.4694323144,0,0.3333333333,0.5176470588,0.4385964912,0.5,0.5,0.5454545455,0.4545454545,0.5,0.5,0.5454545455,0.4545454545,-46,0.2703900709,0.08560925993,0.4503546099,0.1654381966,0.2219840784,0.07130428853,0.4086956522,0.1479615208,0.2124692371,0.06428398645,-0.2,0.1500819001,0.1067538126,0.03968622662,-0.3333333333,0.0790505676,0,0.09090909091,0,0.09090909091
US Open,2010/08/30,Hard,1st Round,De Bakker T.,48,1.2,Gicquel M.,170,4.33,0,0.52,0.4748603352,0.5037707391,0.495031617,0.5,0.4333333333,0.5361445783,0.4522613065,0.5,0.4512195122,0.5039215686,0.4960238569,0,0.4666666667,0.5147058824,0.4456521739,0.5833333333,0.4090909091,0.5141955836,0.4883268482,0.5714285714,0.3333333333,0.5409836066,0.3974358974,0.55,0.5454545455,0.5142857143,0.5287128713,0,0.5,0.5161290323,0.4864864865,0,1,0.4081632653,0.5918367347,0,1,0.4081632653,0.5918367347,-122,0.0451396648,0.008739122082,0.06666666667,0.08388327178,0.0487804878,0.007897711769,-0.4666666667,0.06905370844,0.1742424242,0.02586873535,0.2380952381,0.1435477091,0.004545454545,-0.014427157,-0.5,0.02964254577,-1,-0.1836734694,-1,-0.1836734694
US Open,2010/08/30,Hard,1st Round,Mello R.,81,1.53,Phau B.,97,2.37,0,0.3134328358,0.373015873,0.4449633089,0.4645354645,0.2222222222,0.2222222222,0.3196347032,0.4082125604,0.3243243243,0.421686747,0.450887574,0.4699481865,0.4,0.3076923077,0.3553719008,0.4072727273,0.3846153846,0.35,0.446366782,0.4686098655,0,0,0.2790697674,0.4032258065,0.3333333333,0.4,0.4444444444,0.4699140401,0,0,0.3333333333,0.4255319149,0,0,0,0,0,0,0,0,-16,-0.05958303719,-0.01957215566,0,-0.08857785719,-0.09736242266,-0.01906061256,0.09230769231,-0.05190082645,0.03461538462,-0.02224308346,0,-0.124156039,-0.06666666667,-0.02546959567,0,-0.09219858156,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Soderling R.,5,1.01,Haider-Maurer A.,214,15,0,0.6423611111,0.3333333333,0.5438692846,0.4459459459,0.6458333333,0,0.5791666667,0.4444444444,0.6428571429,0,0.549918611,0.4,0.4615384615,0,0.5860655738,0,0.7042253521,0.3333333333,0.5632563256,0.4459459459,0.75,0,0.5836734694,0.4444444444,0.693877551,0,0.5612416107,0.4,0.5,0,0.6064516129,0,0,0,0,0,0,0,0,0,-209,0.3090277778,0.09792333869,0.6458333333,0.1347222222,0.6428571429,0.149918611,0.4615384615,0.5860655738,0.3708920188,0.1173103797,0.75,0.1392290249,0.693877551,0.1612416107,0.5,0.6064516129,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Monfils G.,19,1.25,Kendrick R.,148,3.75,0,0.6007905138,0.2876712329,0.518399264,0.4621052632,0.6603773585,0.2352941176,0.5294797688,0.4229249012,0.5899280576,0.2962962963,0.515367103,0.467571644,0.6363636364,0.2222222222,0.5336225597,0.4111111111,0.6896551724,0.25,0.534914361,0.4832535885,0.6363636364,0.3333333333,0.5816326531,0.4333333333,0.6808510638,0.3333333333,0.5361087511,0.4981684982,0.6666666667,0.5,0.568627451,0.45,1,0,0.5652173913,0.4347826087,1,0,0.5652173913,0.4347826087,-129,0.313119281,0.05629400087,0.4250832408,0.1065548676,0.2936317613,0.04779545897,0.4141414141,0.1225114485,0.4396551724,0.05166077248,0.303030303,0.1482993197,0.3475177305,0.03794025289,0.1666666667,0.118627451,1,0.1304347826,1,0.1304347826
US Open,2010/08/30,Hard,1st Round,Zeballos H.,61,2.62,Andreev I.,121,1.44,1,0.4,0.5294117647,0.4700193424,0.5079069767,0.3333333333,0.5869565217,0.4772727273,0.5255474453,0.4210526316,0.4958677686,0.4811715481,0.497665733,0.3333333333,0.5454545455,0.4761904762,0.515970516,0.4102564103,0.4242424242,0.4715852443,0.4813432836,0.3333333333,0,0.480620155,0.4571428571,0.4210526316,0.35,0.4811715481,0.4731610338,0.3333333333,0,0.4761904762,0.46875,0,0,0,0,0,0,0,0,-60,-0.1294117647,-0.03788763438,-0.2536231884,-0.04827471798,-0.07481513702,-0.01649418484,-0.2121212121,-0.03978003978,-0.01398601399,-0.009758039315,0.3333333333,0.0234772979,0.07105263158,0.00801051432,0.3333333333,0.00744047619,0,0,0,0
US Open,2010/08/30,Hard,1st Round,Melzer J.,15,1.16,Tursunov D.,481,4.5,0,0.537704918,0.5541125541,0.5045495322,0.5126254451,0.5769230769,0.5681818182,0.5083415113,0.5224071703,0.5034013605,0.5869565217,0.4949279231,0.521308771,0.45,0.5,0.5051975052,0.5555555556,0.6470588235,0.1666666667,0.5315052509,0.3786982249,0.6923076923,0,0.552173913,0.2916666667,0.5952380952,0.4285714286,0.5192878338,0.4975845411,0.3333333333,0,0.553030303,0.652173913,0,1,0.4615384615,0.5384615385,0,1,0.4615384615,0.5384615385,-466,-0.01640763608,-0.008075912897,0.008741258741,-0.01406565901,-0.08355516119,-0.02638084785,-0.05,-0.05035805036,0.4803921569,0.152807026,0.6923076923,0.2605072464,0.1666666667,0.02170329277,0.3333333333,-0.09914361001,-1,-0.07692307692,-1,-0.07692307692
