,Date,P1,P2,Result,Score,Set1,Set2,Set3,Set4,Set5,Court_Type,Tournament
f171fe4d6ad9e96e22852978dbe7b183,21/02/2021,Djokovic N. (Srb),Medvedev D. (Rus),1.0,3-0,7-5,6-2,6-2,,,hard,ATP - SINGLES: Australian Open (Australia)
c2d2f3bb43a2be057631bc98e10485a7,18/02/2021,Djokovic N. (Srb),Karatsev A. (Rus),1.0,3-0,6-3,6-4,6-2,,,hard,ATP - SINGLES: Australian Open (Australia)
4296e7b2c843640af1b384f1bd68dd16,16/02/2021,Djokovic N. (Srb),Zverev A. (Ger),1.0,3-1,6-7,6-2,6-4,7-6,,hard,ATP - SINGLES: Australian Open (Australia)
4af4ef0bcebf7a8f68befab9babe731b,14/02/2021,Djokovic N. (Srb),Raonic M. (Can),1.0,3-1,7-6,4-6,6-1,6-4,,hard,ATP - SINGLES: Australian Open (Australia)
5adf5dc0688ae0c830ee76b0d1c72acc,12/02/2021,Djokovic N. (Srb),Fritz T. (Usa),1.0,3-2,7-6,6-4,3-6,4-6,6-2,hard,ATP - SINGLES: Australian Open (Australia)
545e7dec0e61eef88987bae74a8af763,10/02/2021,Djokovic N. (Srb),Tiafoe F. (Usa),1.0,3-1,6-3,6-7,7-6,6-3,,hard,ATP - SINGLES: Australian Open (Australia)
4b1fcc0c5067d8ed99b7fe5e2ca51226,08/02/2021,Djokovic N. (Srb),Chardy J. (Fra),1.0,3-0,6-3,6-1,6-2,,,hard,ATP - SINGLES: Australian Open (Australia)
a5f0892de4b39d751e20335c540a1a1f,05/02/2021,Djokovic N. (Srb),Zverev A. (Ger),1.0,2-1,6-7,6-2,7-5,,,hard,ATP - SINGLES: ATP Cup (Australia)
7c1318706dbc3ecc49e3ee1ea3570964,02/02/2021,Djokovic N. (Srb),Shapovalov D. (Can),1.0,2-0,7-5,7-5,,,,hard,ATP - SINGLES: ATP Cup (Australia)
7d359d4ace53d442f2697c7be8c4fdb9,29/01/2021,Djokovic N. (Srb),Sinner J. (Ita),1.0,1-0,6-3,,,,,hard,EXHIBITION - MEN: A Day at the Drive (Australia)
da873ba7e88569c9e0c0c97ba21c84eb,21/11/2020,Thiem D. (Aut),Djokovic N. (Srb),1.0,2-1,7-5,60-72,7-6,,,hard (indoor),ATP - SINGLES: Finals - London (World) - Play Offs
e030ea578ce4f7b806a0cb1618ef9f90,20/11/2020,Djokovic N. (Srb),Zverev A. (Ger),1.0,2-0,6-3,7-6,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
6608d902a935be770d2b2dd5c7e60223,18/11/2020,Djokovic N. (Srb),Medvedev D. (Rus),-1.0,0-2,3-6,3-6,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
29b212b044ac27aac21d929240ccd1c7,16/11/2020,Djokovic N. (Srb),Schwartzman D. (Arg),1.0,2-0,6-3,6-2,,,,hard (indoor),ATP - SINGLES: Finals - London (World)
adae5617807bff6c90f6906feae0449a,30/10/2020,Djokovic N. (Srb),Sonego L. (Ita),-1.0,0-2,2-6,1-6,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
314398922d13c2c60b1d79d96ebb7aa5,28/10/2020,Djokovic N. (Srb),Coric B. (Cro),1.0,2-0,73-61,6-3,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
7b5b6625a2c0f43d0dbc358acac91176,27/10/2020,Djokovic N. (Srb),Krajinovic F. (Srb),1.0,2-0,7-6,6-3,,,,hard (indoor),ATP - SINGLES: Vienna (Austria)
a900c4359fd0b2ce151a8a102cb9e75a,11/10/2020,Djokovic N. (Srb),Nadal R. (Esp),-1.0,0-3,0-6,2-6,5-7,,,clay,ATP - SINGLES: French Open (France)
8da57d354d1cf56ca60605046df2f62e,09/10/2020,Djokovic N. (Srb),Tsitsipas S. (Gre),1.0,3-2,6-3,6-2,5-7,4-6,6-1,clay,ATP - SINGLES: French Open (France)
c86a6dc2d781e756a85c0017989e1582,07/10/2020,Djokovic N. (Srb),Carreno-Busta P. (Esp),1.0,3-1,4-6,6-2,6-3,6-4,,clay,ATP - SINGLES: French Open (France)
deb10ed65b80dd4c0ccd9260a5fd8a98,05/10/2020,Djokovic N. (Srb),Khachanov K. (Rus),1.0,3-0,6-4,6-3,6-3,,,clay,ATP - SINGLES: French Open (France)
5c70355da0433f5fd91f073df4ef3c19,03/10/2020,Djokovic N. (Srb),Galan Riveros D. E. (Col),1.0,3-0,6-0,6-3,6-2,,,clay,ATP - SINGLES: French Open (France)
c8457ca1287d4f9f32fffc894d32600f,01/10/2020,Djokovic N. (Srb),Berankis R. (Ltu),1.0,3-0,6-1,6-2,6-2,,,clay,ATP - SINGLES: French Open (France)
ee2bc482651a24b4e7c72bfc3c8d2083,29/09/2020,Djokovic N. (Srb),Ymer M. (Swe),1.0,3-0,6-0,6-2,6-3,,,clay,ATP - SINGLES: French Open (France)
1070bffefd05e934e4144de309aa8cc6,21/09/2020,Djokovic N. (Srb),Schwartzman D. (Arg),1.0,2-0,7-5,6-3,,,,clay,ATP - SINGLES: Rome (Italy)
d0fb7a22c0871cd4071689595c31b6bd,20/09/2020,Djokovic N. (Srb),Ruud C. (Nor),1.0,2-0,7-5,6-3,,,,clay,ATP - SINGLES: Rome (Italy)
0af4d5f1a3910d26092aee12e353b0c2,19/09/2020,Djokovic N. (Srb),Koepfer D. (Ger),1.0,2-1,6-3,4-6,6-3,,,clay,ATP - SINGLES: Rome (Italy)
d18791162471c2f8b762d44159651574,18/09/2020,Djokovic N. (Srb),Krajinovic F. (Srb),1.0,2-0,7-6,6-3,,,,clay,ATP - SINGLES: Rome (Italy)
6eb46b3f222ed7c9c6ff1997cd2b4eab,16/09/2020,Djokovic N. (Srb),Caruso S. (Ita),1.0,2-0,6-3,6-2,,,,clay,ATP - SINGLES: Rome (Italy)
e486dcc3136799ece94e3f840d820f60,06/09/2020,Djokovic N. (Srb),Carreno-Busta P. (Esp),-1.0,0-0,5-6,,,,,hard,ATP - SINGLES: US Open (USA)
b97494b734d30de55991b58e8480d8ef,05/09/2020,Djokovic N. (Srb),Struff J-L. (Ger),1.0,3-0,6-3,6-3,6-1,,,hard,ATP - SINGLES: US Open (USA)
ecd044874dc98291357bd9c45f5208a6,02/09/2020,Djokovic N. (Srb),Edmund K. (Gbr),1.0,3-1,6-7,6-3,6-4,6-2,,hard,ATP - SINGLES: US Open (USA)
d21528066fe899db91772bef370b1069,01/09/2020,Djokovic N. (Srb),Dzumhur D. (Bih),1.0,3-0,6-1,6-4,6-1,,,hard,ATP - SINGLES: US Open (USA)
