,Name,Nat,Pts,Tournaments,Link,Nickname
0,Djokovic Novak,Serbia,"12,030",18,https://www.tennis24.com/player/djokovic-novak/AZg49Et9,Djokovic N. (Srb)
1,Nadal Rafael,Spain,"9,850",18,https://www.tennis24.com/player/nadal-rafael/xUwlUnRK,Nadal R. (Esp)
2,Medvedev Daniil,Russia,"9,735",24,https://www.tennis24.com/player/medvedev-daniil/O8qG0Nhb,Medvedev D. (Rus)
3,Thiem Dominic,Austria,"9,125",21,https://www.tennis24.com/player/thiem-dominic/dtwmvonR,Thiem D. (Aut)
4,Federer Roger,Switzerland,"6,630",16,https://www.tennis24.com/player/federer-roger/GrsQDFC0,Federer R. (Sui)
5,Tsitsipas Stefanos,Greece,"6,595",28,https://www.tennis24.com/player/tsitsipas-stefanos/hb6oWfc6,Tsitsipas S. (Gre)
6,Zverev Alexander,Germany,"5,615",27,https://www.tennis24.com/player/zverev-alexander/dGbUhw9m,Zverev A. (Ger)
7,Rublev Andrey,Russia,"4,609",27,https://www.tennis24.com/player/rublev-andrey/AeAn4gP0,Rublev A. (Rus)
8,Schwartzman Diego,Argentina,"3,480",26,https://www.tennis24.com/player/schwartzman-diego/lxOVoutC,Schwartzman D. (Arg)
9,Berrettini Matteo,Italy,"3,480",23,https://www.tennis24.com/player/berrettini-matteo/OhwtM7N8,Berrettini M. (Ita)
10,Shapovalov Denis,Canada,"2,910",30,https://www.tennis24.com/player/shapovalov-denis/zXddgn9o,Shapovalov D. (Can)
11,Monfils Gael,France,"2,860",23,https://www.tennis24.com/player/monfils-gael/fm7G8o0m,Monfils G. (Fra)
12,Bautista-Agut Roberto,Spain,"2,710",25,https://www.tennis24.com/player/bautista-agut-roberto/riOJC5jb,Bautista-Agut R. (Esp)
13,Raonic Milos,Canada,"2,630",22,https://www.tennis24.com/player/raonic-milos/8dRfslyR,Raonic M. (Can)
14,Goffin David,Belgium,"2,600",29,https://www.tennis24.com/player/goffin-david/bqic8RxG,Goffin D. (Bel)
15,Carreno-Busta Pablo,Spain,"2,585",28,https://www.tennis24.com/player/carreno-busta-pablo/W8WmcXdq,Carreno-Busta P. (Esp)
16,Dimitrov Grigor,Bulgaria,"2,575",27,https://www.tennis24.com/player/dimitrov-grigor/SQgEEKh4,Dimitrov G. (Bul)
17,Fognini Fabio,Italy,"2,535",26,https://www.tennis24.com/player/fognini-fabio/OEmFxtMq,Fognini F. (Ita)
18,Auger-Aliassime Felix,Canada,"2,516",32,https://www.tennis24.com/player/auger-aliassime-felix/CzXh4LAb,Auger-Aliassime F. (Can)
19,Wawrinka Stan,Switzerland,"2,365",23,https://www.tennis24.com/player/wawrinka-stan/Uo9lu6le,Wawrinka S. (Sui)
20,Khachanov Karen,Russia,"2,290",30,https://www.tennis24.com/player/khachanov-karen/4bNPtZT5,Khachanov K. (Rus)
21,Garin Cristian,Chile,"2,180",29,https://www.tennis24.com/player/garin-cristian/U73k5I15,Garin C. (Chi)
22,De Minaur Alex,Australia,"2,155",25,https://www.tennis24.com/player/de-minaur-alex/EZgZ9Xfh,De Minaur A. (Aus)
23,Ruud Casper,Norway,"1,909",30,https://www.tennis24.com/player/ruud-casper/zN9UpRqp,Ruud C. (Nor)
24,Isner John,USA,"1,895",21,https://www.tennis24.com/player/isner-john/Ym1rWFYa,Isner J. (Usa)
25,Coric Borna,Croatia,"1,890",25,https://www.tennis24.com/player/coric-borna/QZdb3dWH,Coric B. (Cro)
26,Lajovic Dusan,Serbia,"1,875",31,https://www.tennis24.com/player/lajovic-dusan/bJf33z45,Lajovic D. (Srb)
27,Evans Daniel,United Kingdom,"1,794",33,https://www.tennis24.com/player/evans-daniel/Ya9jkSU5,Evans D. (Gbr)
28,Paire Benoit,France,"1,738",34,https://www.tennis24.com/player/paire-benoit/CMfsaHsr,Paire B. (Fra)
29,Hurkacz Hubert,Poland,"1,735",32,https://www.tennis24.com/player/hurkacz-hubert/zuHOBnY9,Hurkacz H. (Pol)
30,Krajinovic Filip,Serbia,"1,718",26,https://www.tennis24.com/player/krajinovic-filip/djfrlQJg,Krajinovic F. (Srb)
31,Humbert Ugo,France,"1,706",36,https://www.tennis24.com/player/humbert-ugo/O4ywE5Ah,Humbert U. (Fra)
32,Fritz Taylor Harry,USA,"1,695",36,https://www.tennis24.com/player/fritz-taylor-harry/UH09iaZ6,Fritz T. (Usa)
33,Sinner Jannik,Italy,"1,694",32,https://www.tennis24.com/player/sinner-jannik/6HdC3z4H,Sinner J. (Ita)
34,Mannarino Adrian,France,"1,641",36,https://www.tennis24.com/player/mannarino-adrian/fLOdtByM,Mannarino A. (Fra)
35,Sonego Lorenzo,Italy,"1,623",33,https://www.tennis24.com/player/sonego-lorenzo/zVuMEJTT,Sonego L. (Ita)
36,Struff Jan-Lennard,Germany,"1,495",32,https://www.tennis24.com/player/struff-jan-lennard/Ek3bDDo2,Struff J-L. (Ger)
37,Opelka Reilly,USA,"1,457",25,https://www.tennis24.com/player/opelka-reilly/fqKkCJdJ,Opelka R. (Usa)
38,Millman John,Australia,"1,421",35,https://www.tennis24.com/player/millman-john/byFUbQU0,Millman J. (Aus)
39,Basilashvili Nikoloz,Georgia,"1,405",28,https://www.tennis24.com/player/basilashvili-nikoloz/Kb8ttRy2,Basilashvili N. (Geo)
40,Kecmanovic Miomir,Serbia,"1,388",33,https://www.tennis24.com/player/kecmanovic-miomir/MTQ5CPOR,Kecmanovic M. (Srb)
41,Karatsev Aslan,Russia,"1,382",36,https://www.tennis24.com/player/karatsev-aslan/WYVhbvBF,Karatsev A. (Rus)
42,Nishikori Kei,Japan,"1,355",16,https://www.tennis24.com/player/nishikori-kei/YNkOjUIB,Nishikori K. (Jpn)
43,Cilic Marin,Croatia,"1,325",26,https://www.tennis24.com/player/cilic-marin/nLoK5syL,Cilic M. (Cro)
44,Pella Guido,Argentina,"1,310",26,https://www.tennis24.com/player/pella-guido/AoDGErfD,Pella G. (Arg)
45,Bublik Alexander,Kazakhstan,"1,255",35,https://www.tennis24.com/player/bublik-alexander/t0WN9vR6,Bublik A. (Kaz)
46,Ramos-Vinolas Albert,Spain,"1,210",36,https://www.tennis24.com/player/ramos-vinolas-albert/bHLexrv0,Ramos A. (Esp)
47,Kyrgios Nick,Australia,"1,190",19,https://www.tennis24.com/player/kyrgios-nick/fudxgwDF,Kyrgios N. (Aus)
48,Gasquet Richard,France,"1,155",27,https://www.tennis24.com/player/gasquet-richard/GxY5TctR,Gasquet R. (Fra)
49,Thompson Jordan,Australia,"1,113",28,https://www.tennis24.com/player/thompson-jordan/8pwfoWMP,Thompson J. (Aus)
50,Edmund Kyle,United Kingdom,"1,095",27,https://www.tennis24.com/player/edmund-kyle/E3lS9LXS,Edmund K. (Gbr)
51,Sandgren Tennys,USA,"1,091",30,https://www.tennis24.com/player/sandgren-tennys/txoRJR0E,Sandgren T. (Usa)
52,Querrey Sam,USA,"1,085",18,https://www.tennis24.com/player/querrey-sam/bV2yMYME,Querrey S. (Usa)
53,Paul Tommy,USA,"1,080",30,https://www.tennis24.com/player/paul-tommy/pd3ye1BS,Paul T. (Usa)
54,Andujar-Alba Pablo,Spain,"1,079",35,https://www.tennis24.com/player/andujar-alba-pablo/Glvq9NkN,Andujar-Alba P. (Esp)
55,Davidovich Fokina Alejandro,Spain,"1,078",31,https://www.tennis24.com/player/davidovich-fokina-alejandro/0zQXLfz4,Davidovich Fokina A. (Esp)
56,Lopez Feliciano,Spain,"1,078",25,https://www.tennis24.com/player/lopez-feliciano/6NnuYxEB,Lopez F. (Esp)
57,Fucsovics Marton,Hungary,"1,072",31,https://www.tennis24.com/player/fucsovics-marton/GhQFzFli,Fucsovics M. (Hun)
58,Djere Laslo,Serbia,"1,068",27,https://www.tennis24.com/player/djere-laslo/4GGnypTh,Djere L. (Srb)
59,Bedene Aljaz,Slovenia,"1,065",25,https://www.tennis24.com/player/bedene-aljaz/AaLcMmnK,Bedene A. (Slo)
60,Nishioka Yoshihito,Japan,"1,062",27,https://www.tennis24.com/player/nishioka-yoshihito/neAMoGXa,Nishioka Y. (Jpn)
61,Tiafoe Frances,USA,"1,040",34,https://www.tennis24.com/player/tiafoe-frances/AHDLJaph,Tiafoe F. (Usa)
62,Travaglia Stefano,Italy,"1,024",39,https://www.tennis24.com/player/travaglia-stefano/KAYoXgme,Travaglia S. (Ita)
63,Chardy Jeremy,France,"1,020",27,https://www.tennis24.com/player/chardy-jeremy/8Qy7Nsg0,Chardy J. (Fra)
64,Norrie Cameron,United Kingdom,"1,015",32,https://www.tennis24.com/player/norrie-cameron/pvzhJGY8,Norrie C. (Gbr)
65,Tsonga Jo-Wilfried,France,"1,015",22,https://www.tennis24.com/player/tsonga-jo-wilfried/xnZ1UwRK,Tsonga J-W. (Fra)
66,Pospisil Vasek,Canada,"1,013",23,https://www.tennis24.com/player/pospisil-vasek/xdHXH2G1,Pospisil V. (Can)
67,Simon Gilles,France,990,34,https://www.tennis24.com/player/simon-gilles/nNVuYUJA,Simon G. (Fra)
68,Vesely Jiri,Czech Republic,988,37,https://www.tennis24.com/player/vesely-jiri/MZOsgqwe,Vesely J. (Cze)
69,Verdasco Fernando,Spain,985,28,https://www.tennis24.com/player/verdasco-fernando/hfRTC1Nu,Verdasco F. (Esp)
70,Koepfer Dominik,Germany,966,27,https://www.tennis24.com/player/koepfer-dominik/AmrI05YH,Koepfer D. (Ger)
71,Moutet Corentin,France,963,31,https://www.tennis24.com/player/moutet-corentin/bX0EWcV9,Moutet C. (Fra)
72,Cuevas Pablo,Uruguay,962,29,https://www.tennis24.com/player/cuevas-pablo/S6bHHtiI,Cuevas P. (Uru)
73,Monteiro Thiago,Brazil,929,40,https://www.tennis24.com/player/monteiro-thiago/YqLucTlj,Monteiro T. (Bra)
74,Berankis Ricardas,Lithuania,909,23,https://www.tennis24.com/player/berankis-ricardas/n5UoA5NP,Berankis R. (Ltu)
75,Albot Radu,Moldova,907,35,https://www.tennis24.com/player/albot-radu/OnoPKE7m,Albot R. (Mda)
76,Caruso Salvatore,Italy,898,38,https://www.tennis24.com/player/caruso-salvatore/UXJlgz7L,Caruso S. (Ita)
77,Giron Marcos,USA,889,32,https://www.tennis24.com/player/giron-marcos/OWOgryOk,Giron M. (Usa)
78,Pouille Lucas,France,887,24,https://www.tennis24.com/player/pouille-lucas/ro2eiAkm,Pouille L. (Fra)
79,Johnson Steve,USA,880,30,https://www.tennis24.com/player/johnson-steve/fD42B7Fh,Johnson S. (Usa)
80,Kwon Soonwoo,South Korea,877,31,https://www.tennis24.com/player/kwon-soon-woo/pKuUGzw2,Kwon Soonwoo (Kor)
81,Harris Lloyd George,South Africa,873,27,https://www.tennis24.com/player/harris-lloyd-george/YyK3wlb0,
82,Gerasimov Egor,Belarus,854,28,https://www.tennis24.com/player/gerasimov-egor/v5mY2VHL,Gerasimov E. (Blr)
83,Delbonis Federico,Argentina,851,32,https://www.tennis24.com/player/delbonis-federico/E10L2won,Delbonis F. (Arg)
84,Ruusuvuori Emil,Finland,851,37,https://www.tennis24.com/player/ruusuvuori-emil/MRVzCh5U,Ruusuvuori E. (Fin)
85,Anderson Kevin,South Africa,845,19,https://www.tennis24.com/player/anderson-kevin/2Nq3ecTS,Anderson K. (Rsa)
86,Cecchinato Marco,Italy,838,38,https://www.tennis24.com/player/cecchinato-marco/4zpGaSnG,Cecchinato M. (Ita)
87,Londero Juan Ignacio,Argentina,832,28,https://www.tennis24.com/player/londero-juan-ignacio/6HoqESC2,Londero J. I. (Arg)
88,Martinez Portero Pedro,Spain,830,36,https://www.tennis24.com/player/martinez-portero-pedro/WtiN88eD,Martinez P. (Esp)
89,Herbert Pierre-Hugues,France,822,34,https://www.tennis24.com/player/herbert-pierre-hugues/vD0zNRBM,Herbert P. (Fra)
90,Ymer Mikael,Sweden,820,24,https://www.tennis24.com/player/ymer-mikael/xI6dgV0b,Ymer M. (Swe)
91,Korda Sebastian,USA,810,31,https://www.tennis24.com/player/korda-sebastian/SYklCTPO,Korda S. (Usa)
92,Gombos Norbert,Slovakia,797,33,https://www.tennis24.com/player/gombos-norbert/bDFSqjSo,Gombos N. (Svk)
93,Kukushkin Mikhail,Kazakhstan,796,30,https://www.tennis24.com/player/kukushkin-mikhail/OSUB7Jy0,Kukushkin M. (Kaz)
94,Coria Federico,Argentina,790,44,https://www.tennis24.com/player/coria-federico/vJdE1Bg7,Coria F. (Arg)
95,Carballes Baena Roberto,Spain,786,39,https://www.tennis24.com/player/carballes-baena-roberto/hj8fIZPg,Carballes Baena R. (Esp)
96,Balazs Attila,Hungary,784,27,https://www.tennis24.com/player/balazs-attila/0AakVs2l,Balazs A. (Hun)
97,Sousa Joao,Portugal,782,31,https://www.tennis24.com/player/sousa-joao/dQdhXosG,Sousa J. (Por)
